Answer_Relevancy_Median	Answer_Relevancy_Zero_Count	Source_File							
0.751694688	11	ragas_evaluation_summary5_2025-11-14_04-30-52.csv							
0	18	ragas_evaluation_summary5_2025-11-14_04-30-52.csv						0.753386597	10.6
0.749807722	9	ragas_evaluation_summary5_2025-11-14_04-30-52.csv						0.293210339	15.2
0.75211449	8	ragas_evaluation_summary5_2025-11-14_04-30-52.csv						0.745057795	10.4
0.75211192	10	ragas_evaluation_summary5_2025-11-14_04-59-46.csv						0.752717468	8.6
0	17	ragas_evaluation_summary5_2025-11-14_04-59-46.csv							
0.752942747	8	ragas_evaluation_summary5_2025-11-14_04-59-46.csv							
0.748182464	9	ragas_evaluation_summary5_2025-11-14_04-59-46.csv							
0.754585698	9	ragas_evaluation_summary5_2025-11-14_05-29-52.csv							
0	18	ragas_evaluation_summary5_2025-11-14_05-29-52.csv							
0.749043976	10	ragas_evaluation_summary5_2025-11-14_05-29-52.csv							
0.749034555	10	ragas_evaluation_summary5_2025-11-14_05-29-52.csv							
0.756123694	9	ragas_evaluation_summary5_2025-11-14_06-31-18.csv							
0.727394658	14	ragas_evaluation_summary5_2025-11-14_06-31-18.csv							
0.749794149	10	ragas_evaluation_summary5_2025-11-14_06-31-18.csv							
0.753049092	8	ragas_evaluation_summary5_2025-11-14_06-31-18.csv							
0.751167847	12	ragas_evaluation_summary5_2025-11-14_06-59-35.csv							
0.361124449	15	ragas_evaluation_summary5_2025-11-14_06-59-35.csv							
0.741686802	8	ragas_evaluation_summary5_2025-11-14_06-59-35.csv							
0.756778568	6	ragas_evaluation_summary5_2025-11-14_06-59-35.csv							
0.745785708	13	ragas_evaluation_summary5_2025-11-14_07-27-18.csv							
0.741924822	11	ragas_evaluation_summary5_2025-11-14_07-27-18.csv							
0.733073236	12	ragas_evaluation_summary5_2025-11-14_07-27-18.csv							
0.752813959	7	ragas_evaluation_summary5_2025-11-14_07-27-18.csv							
0.768570043	11	ragas_evaluation_summary5_2025-11-14_07-57-58.csv							
0.370569739	15	ragas_evaluation_summary5_2025-11-14_07-57-58.csv							
0.7491141	11	ragas_evaluation_summary5_2025-11-14_07-57-58.csv							
0.751419169	9	ragas_evaluation_summary5_2025-11-14_07-57-58.csv							
0.748140008	11	ragas_evaluation_summary5_2025-11-14_08-26-06.csv							
0	16	ragas_evaluation_summary5_2025-11-14_08-26-06.csv							
0.732184366	13	ragas_evaluation_summary5_2025-11-14_08-26-06.csv							
0.750053223	10	ragas_evaluation_summary5_2025-11-14_08-26-06.csv							
0.755759506	10	ragas_evaluation_summary5_2025-11-14_19-54-37.csv							
0.731089722	12	ragas_evaluation_summary5_2025-11-14_19-54-37.csv							
0.744318182	11	ragas_evaluation_summary5_2025-11-14_19-54-37.csv							
0.754154258	9	ragas_evaluation_summary5_2025-11-14_19-54-37.csv							
0.749926859	10	ragas_evaluation_summary5_2025-11-14_20-26-14.csv							
0	16	ragas_evaluation_summary5_2025-11-14_20-26-14.csv							
0.748612668	12	ragas_evaluation_summary5_2025-11-14_20-26-14.csv							
0.759574898	10	ragas_evaluation_summary5_2025-11-14_20-26-14.csv							
